Project, Version, Budget, Suite, RelBudget, Test count, APFD, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Lang, 14, 75%, Fastazi-S, 0.7471264367816095, 65.0, 0.2076923076923078, 0.40804597701149403, 52.0, 0.5977011494252872, 0, 1, 30
Lang, 14, 75%, Fastazi-P, 0.7471264367816095, 65.0, 0.2076923076923078, 0.40804597701149403, 52.0, 0.5977011494252872, 0, 1, 30
Lang, 14, 75%, Random, 0.7471264367816095, 65.0, 0.3794871794871793, 0.48582375478927203, NA, NA, 6, 0, 24
Lang, 14, 80%, Ekstazi+random, 0.7931034482758615, 69.0, 0.2980676328502415, 0.38812260536398463, NA, NA, 8, 0, 22
Lang, 14, 80%, FAST-pw, 0.7931034482758615, 69.0, 0.25362318840579695, 0.40804597701149403, 52.0, 0.5977011494252872, 0, 1, 30
Lang, 14, 80%, Fastazi-S, 0.7931034482758615, 69.0, 0.25362318840579695, 0.40804597701149403, 52.0, 0.5977011494252872, 0, 1, 30
Lang, 14, 80%, Fastazi-P, 0.7931034482758615, 69.0, 0.25362318840579695, 0.40804597701149403, 52.0, 0.5977011494252872, 0, 1, 30
Lang, 14, 80%, Random, 0.7931034482758615, 69.0, 0.40555555555555567, 0.4940613026819924, NA, NA, 5, 0, 25
Lang, 14, 90%, Ekstazi+random, 0.8965517241379314, 78.0, 0.3504273504273504, 0.3969348659003831, NA, NA, 6, 0, 24
Lang, 14, 90%, FAST-pw, 0.8965517241379314, 78.0, 0.3397435897435896, 0.40804597701149403, 52.0, 0.5977011494252872, 0, 1, 30
Lang, 14, 90%, Fastazi-S, 0.8965517241379314, 78.0, 0.3397435897435896, 0.40804597701149403, 52.0, 0.5977011494252872, 0, 1, 30
Lang, 14, 90%, Fastazi-P, 0.8965517241379314, 78.0, 0.3397435897435896, 0.40804597701149403, 52.0, 0.5977011494252872, 0, 1, 30
Lang, 14, 90%, Random, 0.8965517241379314, 78.0, 0.46068376068376066, 0.5095785440613027, NA, NA, 2, 0, 28
Lang, 14, 100%, Ekstazi+random, 1.0, 87.0, 0.40268199233716473, 0.40268199233716473, 52.46666666666667, 0.6030651340996169, 0, 1, 30
Lang, 14, 100%, FAST-pw, 1.0, 87.0, 0.40804597701149403, 0.40804597701149403, 52.0, 0.5977011494252872, 0, 1, 30
Lang, 14, 100%, Fastazi-S, 1.0, 87.0, 0.40804597701149403, 0.40804597701149403, 52.0, 0.5977011494252872, 0, 1, 30
Lang, 14, 100%, Fastazi-P, 1.0, 87.0, 0.40804597701149403, 0.40804597701149403, 52.0, 0.5977011494252872, 0, 1, 30
Lang, 14, 100%, Random, 1.0, 87.0, 0.5153256704980843, 0.5153256704980843, 42.666666666666664, 0.4904214559386974, 0, 1, 30
Lang, 15, 10%, Ekstazi+random, 0.05747126436781612, 5.0, 0.030000000000000002, 0.03314176245210728, NA, NA, 29, 0, 1
Lang, 15, 10%, FAST-pw, 0.05747126436781612, 5.0, 0.6999999999999996, 0.9827586206896549, 2.0, 0.02298850574712642, 0, 1, 30
Lang, 15, 10%, Fastazi-S, 0.05747126436781612, 5.0, 0.6999999999999996, 0.9827586206896549, 2.0, 0.02298850574712642, 0, 1, 30
Lang, 15, 10%, Fastazi-P, 0.05747126436781612, 5.0, 0.8999999999999996, 0.9942528735632188, 1.0, 0.01149425287356321, 0, 1, 30
Lang, 15, 10%, Random, 0.05747126436781612, 5.0, 0.006666666666666667, 0.06321839080459771, NA, NA, 28, 0, 2
Lang, 15, 20%, Ekstazi+random, 0.12643678160919547, 11.0, 0.07272727272727272, 0.18390804597701152, NA, NA, 24, 0, 6
Lang, 15, 20%, FAST-pw, 0.12643678160919547, 11.0, 0.8636363636363634, 0.9827586206896549, 2.0, 0.02298850574712642, 0, 1, 30
Lang, 15, 20%, Fastazi-S, 0.12643678160919547, 11.0, 0.8636363636363634, 0.9827586206896549, 2.0, 0.02298850574712642, 0, 1, 30
Lang, 15, 20%, Fastazi-P, 0.12643678160919547, 11.0, 0.954545454545454, 0.9942528735632188, 1.0, 0.01149425287356321, 0, 1, 30
Lang, 15, 20%, Random, 0.12643678160919547, 11.0, 0.04393939393939394, 0.09291187739463602, NA, NA, 27, 0, 3
Lang, 15, 25%, Ekstazi+random, 0.1494252873563218, 13.0, 0.09230769230769233, 0.18390804597701152, NA, NA, 24, 0, 6
Lang, 15, 25%, FAST-pw, 0.1494252873563218, 13.0, 0.8846153846153844, 0.9827586206896549, 2.0, 0.02298850574712642, 0, 1, 30
