Project, Version, Budget, Suite, RelBudget, Test count, APFD, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Cli, 11, 80%, Ekstazi+random, 0.7916666666666669, 19.0, 0.3956140350877193, 0.5006944444444443, NA, NA, 3, 0, 27
Cli, 11, 80%, FAST-pw, 0.7916666666666669, 19.0, 0.07894736842105267, 0.2708333333333332, 18.0, 0.75, 0, 1, 30
Cli, 11, 80%, Fastazi-S, 0.7916666666666669, 19.0, 0.07894736842105267, 0.2708333333333332, 18.0, 0.75, 0, 1, 30
Cli, 11, 80%, Fastazi-P, 0.7916666666666669, 19.0, 0.07894736842105267, 0.2708333333333332, 18.0, 0.75, 0, 1, 30
Cli, 11, 80%, Random, 0.7916666666666669, 19.0, 0.4105263157894737, 0.47777777777777775, NA, NA, 8, 0, 22
Cli, 11, 90%, Ekstazi+random, 0.875, 21.0, 0.44523809523809516, 0.5104166666666666, NA, NA, 1, 0, 29
Cli, 11, 90%, FAST-pw, 0.875, 21.0, 0.16666666666666666, 0.2708333333333332, 18.0, 0.75, 0, 1, 30
Cli, 11, 90%, Fastazi-S, 0.875, 21.0, 0.16666666666666666, 0.2708333333333332, 18.0, 0.75, 0, 1, 30
Cli, 11, 90%, Fastazi-P, 0.875, 21.0, 0.16666666666666666, 0.2708333333333332, 18.0, 0.75, 0, 1, 30
Cli, 11, 90%, Random, 0.875, 21.0, 0.4468253968253969, 0.49513888888888885, NA, NA, 5, 0, 25
Cli, 11, 100%, Ekstazi+random, 1.0, 24.0, 0.5138888888888888, 0.5138888888888888, 12.166666666666666, 0.5069444444444443, 0, 1, 30
Cli, 11, 100%, FAST-pw, 1.0, 24.0, 0.2708333333333332, 0.2708333333333332, 18.0, 0.75, 0, 1, 30
Cli, 11, 100%, Fastazi-S, 1.0, 24.0, 0.2708333333333332, 0.2708333333333332, 18.0, 0.75, 0, 1, 30
Cli, 11, 100%, Fastazi-P, 1.0, 24.0, 0.2708333333333332, 0.2708333333333332, 18.0, 0.75, 0, 1, 30
Cli, 11, 100%, Random, 1.0, 24.0, 0.5027777777777778, 0.5027777777777778, 12.433333333333334, 0.5180555555555556, 0, 1, 30
