Project,Version,Suite,Test count,APFD,APFDf,TTFF,pTTFF,Misses,Hit,HitCount
Chart,1,Ekstazi+random,303.0,0.95038503850385,0.95038503850385,15.533333333333333,0.05126512651265126,0,1,30
Chart,1,FAST-pw,303.0,0.9752475247524756,0.9752475247524756,8.0,0.026402640264026393,0,1,30
Chart,1,Fastazi-S,303.0,0.9752475247524756,0.9752475247524756,8.0,0.026402640264026393,0,1,30
Chart,1,Fastazi-P,303.0,0.9752475247524756,0.9752475247524756,8.0,0.026402640264026393,0,1,30
Chart,1,Random,303.0,0.9475247524752473,0.9475247524752473,16.4,0.054125412541254116,0,1,30
Chart,2,Ekstazi+random,174.0,0.47701149425287354,0.702614379084967,91.5,0.2990196078431372,0,1,30
Chart,2,FAST-pw,306.0,0.8349673202614377,0.8349673202614377,51.0,0.16666666666666666,0,1,30
Chart,2,Fastazi-S,174.0,0.9741379310344832,0.9852941176470582,5.0,0.016339869281045753,0,1,30
Chart,2,Fastazi-P,174.0,0.8591954022988509,0.9199346405228754,25.0,0.08169934640522876,0,1,30
Chart,2,Random,306.0,0.44847494553376915,0.44847494553376915,169.26666666666668,0.5531590413943356,0,1,30
Chart,3,Ekstazi+random,194.0,0.5596219931271479,0.720806100217865,85.93333333333334,0.28082788671023967,0,1,30
Chart,3,FAST-pw,306.0,0.07352941176470583,0.07352941176470583,284.0,0.9281045751633988,0,1,30
Chart,3,Fastazi-S,194.0,0.06958762886597937,0.4101307189542483,181.0,0.591503267973856,0,1,30
Chart,3,Fastazi-P,194.0,0.0747422680412371,0.41339869281045744,180.0,0.588235294117647,0,1,30
Chart,3,Random,306.0,0.4577342047930283,0.4577342047930283,166.43333333333334,0.5438997821350763,0,1,30
Chart,4,Ekstazi+random,138.0,0.43236714975845403,0.74400871459695,78.83333333333333,0.2576252723311547,0,1,30
Chart,4,FAST-pw,306.0,0.8545751633986925,0.8545751633986925,45.0,0.14705882352941174,0,1,30
Chart,4,Fastazi-S,138.0,0.9818840579710149,0.9918300653594765,3.0,0.009803921568627449,0,1,30
Chart,4,Fastazi-P,138.0,0.9094202898550731,0.9591503267973851,13.0,0.042483660130718956,0,1,30
Chart,4,Random,306.0,0.4030501089324619,0.4030501089324619,183.16666666666666,0.5985838779956428,0,1,30
Chart,5,Ekstazi+random,97.0,0.493127147766323,0.8393246187363832,49.666666666666664,0.16230936819172112,0,1,30
Chart,5,FAST-pw,306.0,0.24346405228758172,0.24346405228758172,232.0,0.7581699346405234,0,1,30
Chart,5,Fastazi-S,97.0,0.1907216494845362,0.7434640522875817,79.0,0.2581699346405229,0,1,30
Chart,5,Fastazi-P,97.0,0.21134020618556712,0.75,77.0,0.25163398692810457,0,1,30
Chart,5,Random,306.0,0.5337690631808278,0.5337690631808278,143.16666666666666,0.4678649237472766,0,1,30
Chart,6,Ekstazi+random,12.0,0.5777777777777777,0.9834422657952068,5.566666666666666,0.0181917211328976,0,1,30
Chart,6,FAST-pw,306.0,0.4689542483660128,0.4689542483660128,163.0,0.5326797385620915,0,1,30
Chart,6,Fastazi-S,12.0,0.7916666666666669,0.9918300653594765,3.0,0.009803921568627449,0,1,30
Chart,6,Fastazi-P,12.0,0.6249999999999999,0.9852941176470582,5.0,0.016339869281045753,0,1,30
Chart,6,Random,306.0,0.47320261437908506,0.47320261437908506,161.7,0.5284313725490196,0,1,30
Chart,7,Ekstazi+random,94.0,0.3861702127659575,0.811437908496732,58.2,0.19019607843137257,0,1,30
Chart,7,FAST-pw,306.0,0.06699346405228757,0.06699346405228757,286.0,0.9346405228758171,0,1,30
Chart,7,Fastazi-S,94.0,0.04787234042553189,0.7075163398692808,90.0,0.2941176470588235,0,1,30
Chart,7,Fastazi-P,94.0,0.06914893617021271,0.714052287581699,88.0,0.2875816993464052,0,1,30
Chart,7,Random,306.0,0.5314814814814816,0.5314814814814816,143.86666666666667,0.47015250544662307,0,1,30
Chart,8,Ekstazi+random,154.0,0.5575757575757574,0.7870833333333332,68.63333333333334,0.21447916666666664,0,1,30
Chart,8,FAST-pw,320.0,0.04843749999999999,0.04843749999999999,305.0,0.953125,0,1,30
Chart,8,Fastazi-S,154.0,0.19155844155844162,0.6109375,125.0,0.390625,0,1,30
Chart,8,Fastazi-P,154.0,0.06168831168831163,0.5484375000000002,145.0,0.453125,0,1,30
Chart,8,Random,320.0,0.46395833333333336,0.46395833333333336,172.03333333333333,0.5376041666666667,0,1,30
Chart,9,Ekstazi+random,238.0,0.799579831932773,0.8523219814241487,48.2,0.1492260061919505,0,1,30
Chart,9,FAST-pw,323.0,0.81578947368421,0.81578947368421,60.0,0.1857585139318886,0,1,30
Chart,9,Fastazi-S,238.0,0.8298319327731096,0.8746130030959758,41.0,0.1269349845201239,0,1,30
Chart,9,Fastazi-P,238.0,0.834033613445378,0.8777089783281732,40.0,0.12383900928792577,0,1,30
Chart,9,Random,323.0,0.7089783281733746,0.7089783281733746,94.5,0.2925696594427245,0,1,30
Chart,10,Ekstazi+random,34.0,0.48529411764705893,0.9458204334365324,18.0,0.055727554179566555,0,1,30
Chart,10,FAST-pw,323.0,0.2708978328173375,0.2708978328173375,236.0,0.7306501547987617,0,1,30
Chart,10,Fastazi-S,34.0,0.9558823529411768,0.9953560371517024,2.0,0.006191950464396283,0,1,30
Chart,10,Fastazi-P,34.0,0.45588235294117624,0.9427244582043348,19.0,0.05882352941176471,0,1,30
Chart,10,Random,323.0,0.49122807017543857,0.49122807017543857,164.83333333333334,0.5103199174406606,0,1,30
Chart,11,Ekstazi+random,222.0,0.4636636636636636,0.6358817533129458,119.56666666666666,0.36564729867482154,0,1,30
Chart,11,FAST-pw,327.0,0.3623853211009175,0.3623853211009175,209.0,0.6391437308868503,0,1,30
Chart,11,Fastazi-S,222.0,0.39864864864864863,0.5917431192660554,134.0,0.40978593272171254,0,1,30
Chart,11,Fastazi-P,222.0,0.39864864864864863,0.5917431192660554,134.0,0.40978593272171254,0,1,30
Chart,11,Random,327.0,0.48154943934760464,0.48154943934760464,170.03333333333333,0.5199796126401631,0,1,30
Chart,12,Ekstazi+random,85.0,0.5290196078431373,0.8775739041794087,40.53333333333333,0.1239551478083588,0,1,30
Chart,12,FAST-pw,327.0,0.15749235474006115,0.15749235474006115,276.0,0.844036697247706,0,1,30
Chart,12,Fastazi-S,85.0,0.7941176470588235,0.9464831804281351,18.0,0.055045871559633065,0,1,30
Chart,12,Fastazi-P,85.0,0.38235294117647084,0.8394495412844034,53.0,0.162079510703364,0,1,30
Chart,12,Random,327.0,0.4460754332313964,0.4460754332313964,181.63333333333333,0.555453618756371,0,1,30
Chart,13,Ekstazi+random,204.0,0.6946078431372551,0.8094801223241589,62.8,0.19204892966360854,0,1,30
Chart,13,FAST-pw,327.0,0.9281345565749238,0.9281345565749238,24.0,0.07339449541284404,0,1,30
Chart,13,Fastazi-S,204.0,0.9485294117647063,0.96788990825688,11.0,0.03363914373088684,0,1,30
Chart,13,Fastazi-P,204.0,0.9436274509803927,0.9648318042813456,12.0,0.03669724770642202,0,1,30
